SKU	            Device_Type
O-NIKN2DSLA02	Konsole
O-NIKN2DSLA03	Konsole
O-NIKN2DSLA04	Konsole
O-NIKN2DSLD03	Konsole
O-NIKN2DSLG3	Konsole
O-NIKN2DSLG5	Konsole
O-NIKN2DSLG63	Konsole
O-NIKN2DSLG70	Konsole
O-NIKN2DSLG72	Konsole
O-NIKN2DSLG77	Konsole
O-NIKN2DSLL02	Konsole
O-NIKN2DSXA02	Konsole
O-NIKN2DSXA03	Konsole
O-NIKN2DSXA04	Konsole
O-NIKN2DSXD03	Konsole
O-NIKN2DSXG3	Konsole
O-NIKN2DSXG5	Konsole
O-NIKN2DSXG63	Konsole
O-NIKN2DSXG70	Konsole
O-NIKN2DSXG72	Konsole
O-NIKN2DSXG77	Konsole
O-NIKN2DSXL02	Konsole
O-NIKN3DSLA02	Konsole
O-NIKN3DSLA03	Konsole
O-NIKN3DSLA04	Konsole
O-NIKN3DSLD03	Konsole
O-NIKN3DSLG3	Konsole
O-NIKN3DSLG5	Konsole
O-NIKN3DSLG63	Konsole
O-NIKN3DSLG70	Konsole
O-NIKN3DSLG72	Konsole
O-NIKN3DSLG77	Konsole
O-NIKN3DSLL02	Konsole
O-NIKN3DSXA02	Konsole
O-NIKN3DSXA03	Konsole
O-NIKN3DSXA04	Konsole
O-NIKN3DSXD03	Konsole
O-NIKN3DSXG3	Konsole
O-NIKN3DSXG5	Konsole
O-NIKN3DSXG63	Konsole
O-NIKN3DSXG70	Konsole
O-NIKN3DSXG72	Konsole
O-NIKN3DSXG77	Konsole
O-NIKN3DSXL02	Konsole
O-NIKWIUGPA02	Konsole
O-NIKWIUGPA03	Konsole
O-NIKWIUGPA04	Konsole
O-NIKWIUGPD03	Konsole
O-NIKWIUGPG3	Konsole
O-NIKWIUGPG5	Konsole
O-NIKWIUGPG63	Konsole
O-NIKWIUGPG70	Konsole
O-NIKWIUGPG72	Konsole
O-NIKWIUGPG77	Konsole
O-NIKWIUXXA02	Konsole
O-NIKWIUXXA03	Konsole
O-NIKWIUXXA04	Konsole
O-NIKWIUXXG3	Konsole
O-NIKWIUXXG5	Konsole
O-NIKWIUXXG63	Konsole
O-NIKWIUXXG70	Konsole
