ID,Typ,Artikelnummer,Name,Veröffentlicht,Ist hervorgehoben?,Sichtbarkeit im Katalog,Kurzbeschreibung,Beschreibung,"Datum, an dem Angebotspreis beginnt","Datum, an dem Angebotspreis endet",Steuerstatus,Steuerklasse,Vorrätig?,Lager,Geringe Lagermenge,Lieferrückstande erlaubt?,Nur einzeln verkaufen?,Gewicht (kg),Länge (cm),Breite (cm),Höhe (cm),Kundenbewertungen erlauben?,Hinweis zum Kauf,Angebotspreis,Regulärer Preis,Kategorien,Schlagwörter,Versandklasse,Bilder,Downloadlimit,Ablauftage des Downloads,Übergeordnetes Produkt,Gruppierte Produkte,Zusatzverkäufe,Cross-Sells (Querverkäufe),Externe URL,Button-Text,Position,Attribut 1 Name,Attribut 1 Wert(e),Attribut 1 Sichtbar,Attribut 1 Global,Attribut 2 Name,Attribut 2 Wert(e),Attribut 2 Sichtbar,Attribut 2 Global,Attribut 3 Name,Attribut 3 Wert(e),Attribut 3 Sichtbar,Attribut 3 Global,Attribut 4 Name,Attribut 4 Wert(e),Attribut 4 Sichtbar,Attribut 4 Global
29463,simple,O-NIKN2DSLA02,Analyse,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Artikelliste > Konsole > Nintendo > 2DS XL, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29464,simple,O-NIKN2DSLA03,Kostenvoranschlag für Versicherungen,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Artikelliste > Konsole > Nintendo > 2DS XL, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29465,simple,O-NIKN2DSLA04,Gutachten,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,149,"Artikelliste > Konsole > Nintendo > 2DS XL, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29466,simple,O-NIKN2DSLD03,LCD/LED Wechsel,1,0,visible,,"Der Bildschirm Deiner 2DS XL hat Pixelfehler, Streifen oder funktioniert überhaupt nicht mehr? Auch das Display können wir austauschen, sodass Deine 2DS XL wieder ein schönes, einwandfreies Bild hat.",,,taxable,,1,,,0,0,,,,,1,,,89,"Artikelliste > Konsole > Nintendo > 2DS XL, Display",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29467,simple,O-NIKN2DSLG3,Schalter,1,0,visible,,"Was nützt Dir Deine 2DS XL, wenn Du es z.B. nicht Ein- & Ausschalten kannst? Damit Du Deine 2DS XL wieder nutzen kannst, tauschen wir den defekten Schalter problemlos aus.",,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS XL, Schalter",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29468,simple,O-NIKN2DSLG5,Buchsen/Sensoren,1,0,visible,,"Bitte wähle diese Reparaturen wenn folgendes an Deinem Gerät defekt ist: Ladebuchse, HDMI-Anschluss oder USB-Anschluss.",,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS XL, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29469,simple,O-NIKN2DSLG63,Komplettreinigung inkl. Wärmeleitpaste,1,0,visible,,"Deine 2DS XL wird zu heiß oder ist zu laut? Dann ist vermutlich zu viel Staub in Deine 2DS XL gekommen. Dagegen hilft nur eine Reinigung, damit es Deiner 2DS XL wieder besser geht. ",,,taxable,,1,,,0,0,,,,,1,,,49,"Artikelliste > Konsole > Nintendo > 2DS XL, Reinigung",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29470,simple,O-NIKN2DSLG70,Mainboard Lötarbeiten,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS XL, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29471,simple,O-NIKN2DSLG72,Netzbuchsen Lötarbeiten,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS XL, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29472,simple,O-NIKN2DSLG77,Kurzschlussbeseitigung,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS XL, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29473,simple,O-NIKN2DSLL02,Lasereinheit,1,0,visible,,"Deine 2DS XL spielt keine Spiele oder Filme mehr ab? Die Blurays werden nur noch schlecht oder teilweise gelesen? Dann ist der Laser bzw. das Laufwerk Deiner Konsole defekt. Wir tauschen den Laser gegen einen neuen und sorgen dafür, dass die Konsole wieder Spiele und Filme abspielt. Diese Reparatur ist für alle PS4 geeignet, unabhängig davon welche Laser Version in der Konsole verbaut ist.",,,taxable,,1,,,0,0,,,,,1,,,89,"Artikelliste > Konsole > Nintendo > 2DS XL, Laufwerk",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29474,simple,O-NIKN2DSXA02,Analyse,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Artikelliste > Konsole > Nintendo > 2DS, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29475,simple,O-NIKN2DSXA03,Kostenvoranschlag für Versicherungen,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Artikelliste > Konsole > Nintendo > 2DS, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29476,simple,O-NIKN2DSXA04,Gutachten,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,149,"Artikelliste > Konsole > Nintendo > 2DS, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29477,simple,O-NIKN2DSXD03,LCD/LED Wechsel,1,0,visible,,"Der Bildschirm Deiner 2DS hat Pixelfehler, Streifen oder funktioniert überhaupt nicht mehr? Auch das Display können wir austauschen, sodass Deine 2DS wieder ein schönes, einwandfreies Bild hat.",,,taxable,,1,,,0,0,,,,,1,,,89,"Artikelliste > Konsole > Nintendo > 2DS, Display",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29478,simple,O-NIKN2DSXG3,Schalter,1,0,visible,,"Was nützt Dir Deine 2DS, wenn Du es z.B. nicht Ein- & Ausschalten kannst? Damit Du Deine 2DS wieder nutzen kannst, tauschen wir den defekten Schalter problemlos aus.",,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS, Schalter",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29479,simple,O-NIKN2DSXG5,Buchsen/Sensoren,1,0,visible,,"Bitte wähle diese Reparaturen wenn folgendes an Deinem Gerät defekt ist: Ladebuchse, HDMI-Anschluss oder USB-Anschluss.",,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29480,simple,O-NIKN2DSXG63,Komplettreinigung inkl. Wärmeleitpaste,1,0,visible,,"Deine 2DS wird zu heiß oder ist zu laut? Dann ist vermutlich zu viel Staub in Deine 2DS gekommen. Dagegen hilft nur eine Reinigung, damit es Deiner 2DS wieder besser geht. ",,,taxable,,1,,,0,0,,,,,1,,,49,"Artikelliste > Konsole > Nintendo > 2DS, Reinigung",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29481,simple,O-NIKN2DSXG70,Mainboard Lötarbeiten,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29482,simple,O-NIKN2DSXG72,Netzbuchsen Lötarbeiten,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29483,simple,O-NIKN2DSXG77,Kurzschlussbeseitigung,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Artikelliste > Konsole > Nintendo > 2DS, Allgemein",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29484,simple,O-NIKN2DSXL02,Lasereinheit,1,0,visible,,"Deine 2DS spielt keine Spiele oder Filme mehr ab? Die Blurays werden nur noch schlecht oder teilweise gelesen? Dann ist der Laser bzw. das Laufwerk Deiner Konsole defekt. Wir tauschen den Laser gegen einen neuen und sorgen dafür, dass die Konsole wieder Spiele und Filme abspielt. Diese Reparatur ist für alle PS4 geeignet, unabhängig davon welche Laser Version in der Konsole verbaut ist.",,,taxable,,1,,,0,0,,,,,1,,,89,"Artikelliste > Konsole > Nintendo > 2DS, Laufwerk",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29485,simple,O-NIKN3DSLA02,Analyse,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Artikelliste > Konsole > Nintendo > 3DS XL, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29486,simple,O-NIKN3DSLA03,Kostenvoranschlag für Versicherungen,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Artikelliste > Konsole > Nintendo > 3DS XL, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
29487,simple,O-NIKN3DSLA04,Gutachten,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,149,"Artikelliste > Konsole > Nintendo > 3DS XL, Analysen",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
