repair_type_id,repair_type
521,Austausch Akku
522,Austausch Akku Premium
523,Austausch Akku Original
524,Bundle Akku Standard
525,Bundle Akku Premium
526,Austausch Mainboard
527,Austausch Grafikkarte
528,Reseating
529,Scharnierreparatur
530,Austausch Scharnierleiste
531,Austausch Hinge Cover
532,Austausch diverse Kleinstbauteile
533,Austausch Grafikkarte
534,Austausch Original Netzteil
535,Mainboard Lötarbeiten
536,Grafikkarten Lötarbeiten
537,Netzbuchsen Lötarbeiten
538,Diverse Lötarbeiten
539,Austausch Grafikchip
540,Austausch diverser Mainboardkomponenten
541,Austausch Northbridgechip
542,Kurzschlussbeseitigung
543,Austausch Original Mainboard
544,Austausch Kamera
545,Austausch Kamera hinten
546,Austausch Original TrueDepth / Face ID Kamera
547,Austausch Backcover
548,Austausch Backcoverglas
549,Austausch Rücksystem Original
550,Austausch Lüfter
551,Austausch Tastatur
552,Austausch Topcase
553,Austausch Bottomcase
554,Austausch Displaydeckel
555,Austausch Trackpad
556,Austausch Trackpadflexkabel
557,Farbumbau
558,Austausch Kameraglas
559,Austausch Mittelrahmen
560,Austausch Scharnier (neu)
561,Austausch Displaybezel (neu)
562,Austausch Original Topcase inkl. Tastatur
563,Austausch Original Topcase inkl. Tastatur und Akku
564,Austausch Original Bottomcase
565,Austausch Original Gehäuse
566,Austausch Original Trackpad
567,Trackpad Reparatur
568,Austausch Ein/Aus-Schalter
569,Austausch Home Button
570,Austausch Lautstärkeflex
571,Austausch Stummschalterflex
572,Austausch WiFi-Schalter
573,Austausch Home Button Flex
574,Austausch WiFi-Antenne
575,Austausch Mikrofon
576,Austausch Ohrmuschel
577,Austausch Lautsprecher
578,Austausch Audiobuchse
579,Austausch Ladebuchse
580,Austausch SIM Connector
581,Austausch Lichtsensor
582,Austausch WiFi-Modul
583,Austausch Vibrationsmotor
584,Austausch HDMI-Anschluss
585,Austausch DVI-Anschluss
586,Austausch VGA-Anschluss
587,Austausch Displayport-Anschluss
588,Austausch USB-Anschluss
589,Austausch Ethernetanschluss
590,Austausch Netzbuchse
591,Austausch Netzteil
592,Komplettreinigung inkl. Wärmeleitpaste
593,Flüssigkeitsreinigung
594,Reinigung
595,Reinigung Ladebuchse
596,Reinigung (geringer Aufwand)
597,Reinigung (großer Aufwand)
598,Austausch C-MOS Batterie
599,Austausch Backlight IC
600,Austausch Ladeelektronik
601,Austausch Touch IC
602,Austausch Kamera IC
603,Austausch BIOS-Chip inkl. Flashing
604,Chip-Level-Recparatur
605,Reparatur WLAN Modul
606,Austausch Displaykonnektor
607,Austausch Tastaturkonnektor
608,Austausch Audio IC
609,Austausch Powermanagement IC
